controlId,title,family,description,subFamily
SEA-04,Process Isolation,Secure Engineering & Architecture,Mechanisms exist to implement a separate execution domain for each executing process.,Protect
SEA-04.1,Security Function Isolation,Secure Engineering & Architecture,Mechanisms exist to isolate security functions from non-security functions.,Protect
SEA-04.2,Hardware Separation,Secure Engineering & Architecture,Mechanisms exist to implement underlying hardware separation mechanisms to facilitate process separation.,Protect
SEA-04.3,Thread Separation,Secure Engineering & Architecture,Mechanisms exist to maintain a separate execution domain for each thread in multi-threaded processing.,Protect
SEA-04.4,System Privileges Isolation,Secure Engineering & Architecture,"Mechanisms exist to isolate, or logically separate, any application, service and/or process running with system privileges.",Protect
SEA-05,Information In Shared Resources,Secure Engineering & Architecture,Mechanisms exist to prevent unauthorized and unintended information transfer via shared system resources.,Protect
SEA-06,Prevent Program Execution,Secure Engineering & Architecture,Automated mechanisms exist to prevent the execution of unauthorized software programs.,Protect
SEA-07,Predictable Failure Analysis,Secure Engineering & Architecture,Mechanisms exist to determine the Mean Time to Failure (MTTF) for system components in specific environments of operation.,Protect
SEA-07.1,Technology Lifecycle Management,Secure Engineering & Architecture,"Mechanisms exist to manage the usable lifecycles of Technology Assets, Applications and/or Services (TAAS).",Protect
SEA-07.2,Fail Secure,Secure Engineering & Architecture,"Mechanisms exist to enable systems to fail to an organization-defined known-state for types of failures, preserving system state information in failure.",Protect
SEA-07.3,Fail Safe,Secure Engineering & Architecture,Mechanisms exist to implement fail-safe procedures when failure conditions occur.,Protect
SEA-08,Non-Persistence,Secure Engineering & Architecture,Mechanisms exist to implement non-persistent system components and services that are initiated in a known state and terminated upon the end of the session of use or periodically at an organization-defined frequency.,Protect
SEA-08.1,Refresh from Trusted Sources,Secure Engineering & Architecture,Mechanisms exist to ensure that software and data needed for system component and service refreshes are obtained from trusted sources.,Protect
SEA-09,Information Output Filtering,Secure Engineering & Architecture,Mechanisms exist to validate information output from software programs and/or applications to ensure that the information is consistent with the expected content.,Protect
SEA-09.1,Limit Personal Data (PD) Dissemination,Secure Engineering & Architecture,Mechanisms exist to limit the dissemination of Personal Data (PD) to organization-defined elements identified in the Data Protection Impact Assessment (DPIA) and consistent with authorized purposes.,Protect
SEA-10,Memory Protection,Secure Engineering & Architecture,Mechanisms exist to implement security safeguards to protect system memory from unauthorized code execution.,Protect
SEA-11,Honeypots,Secure Engineering & Architecture,"Mechanisms exist to utilize honeypots that are specifically designed to be the target of malicious attacks for the purpose of detecting, deflecting and analyzing such attacks.",Protect
SEA-12,Honeyclients,Secure Engineering & Architecture,Mechanisms exist to utilize honeyclients that proactively seek to identify malicious websites and/or web-based malicious code.,Protect
SEA-13,Heterogeneity,Secure Engineering & Architecture,Mechanisms exist to utilize a diverse set of technologies for system components to reduce the impact of technical vulnerabilities from the same Original Equipment Manufacturer (OEM).,Protect
SEA-13.1,Virtualization Techniques,Secure Engineering & Architecture,Mechanisms exist to utilize virtualization techniques to support the employment of a diversity of operating systems and applications.,Protect
SEA-14,Concealment & Misdirection,Secure Engineering & Architecture,"Mechanisms exist to utilize concealment and misdirection techniques for Technology Assets, Applications and/or Services (TAAS) to confuse and mislead adversaries.",Protect
SEA-14.1,Randomness,Secure Engineering & Architecture,Automated mechanisms exist to introduce randomness into organizational operations and assets.,Protect
SEA-14.2,Change Processing & Storage Locations,Secure Engineering & Architecture,Automated mechanisms exist to change the location of processing and/or storage at random time intervals.,Protect
SEA-15,Distributed Processing & Storage,Secure Engineering & Architecture,Mechanisms exist to distribute processing and storage across multiple physical locations.,Protect
SEA-16,Non-Modifiable Executable Programs,Secure Engineering & Architecture,"Mechanisms exist to utilize non-modifiable executable programs that load and execute the operating environment and applications from hardware-enforced, read-only media.",Protect
SEA-17,Secure Log-On Procedures,Secure Engineering & Architecture,Mechanisms exist to utilize a trusted communications path between the user and the security functions of the system.,Protect
SEA-18,System Use Notification (Logon Banner),Secure Engineering & Architecture,Mechanisms exist to utilize system use notification / logon banners that display an approved system use notification message or banner before granting access to the system that provides cybersecurity and data protection notices.,Protect
SEA-18.1,Standardized Microsoft Windows Banner,Secure Engineering & Architecture,Mechanisms exist to configure Microsoft Windows-based systems to display an approved logon banner before granting access to the system that provides cybersecurity and data protection notices.,Protect
SEA-18.2,Truncated Banner,Secure Engineering & Architecture,"Mechanisms exist to utilize a truncated system use notification / logon banner on systems not capable of displaying a logon banner from a centralized source, such as Active Directory.",Protect
SEA-19,Previous Logon Notification,Secure Engineering & Architecture,"Mechanisms exist to configure systems that process, store or transmit sensitive/regulated data to notify the user, upon successful logon, of the number of unsuccessful logon attempts since the last successful logon.",Protect
SEA-20,Clock Synchronization,Secure Engineering & Architecture,Mechanisms exist to utilize time-synchronization technology to synchronize all critical system clocks.,Protect
SEA-21,Application Container,Secure Engineering & Architecture,"Mechanisms exist to utilize an application container (virtualization approach) to isolate to a known set of dependencies, access methods and interfaces.",Protect
SEA-22,Privileged Environments,Secure Engineering & Architecture,"Mechanisms exist to prevent privileged operating environments from existing within unprivileged operating environments, including physical or virtual deployments of Technology Assets, Applications and/or Services (TAAS).",Protect
OPS-01,Operations Security,Security Operations,Mechanisms exist to facilitate the implementation of operational security controls.,Govern
OPS-01.1,Standardized Operating Procedures (SOP),Security Operations,"Mechanisms exist to identify and document Standardized Operating Procedures (SOP), or similar documentation, to enable the proper execution of day-to-day / assigned tasks.",Protect
OPS-02,Security Concept Of Operations (CONOPS),Security Operations,"Mechanisms exist to develop a security Concept of Operations (CONOPS), or a similarly-defined plan for achieving cybersecurity objectives, that documents management, operational and technical measures implemented to apply defense-in-depth techniques that is communicated to all appropriate stakeholders.",Protect
OPS-03,"Service Delivery
(Business Process Support)",Security Operations,"Mechanisms exist to define supporting business processes and implement appropriate governance and service management to ensure appropriate planning, delivery and support of the organization's technology capabilities supporting business functions, workforce, and/or customers based on industry-recognized standards to achieve the specific goals of the process area.",Protect
OPS-04,Security Operations Center (SOC),Security Operations,Mechanisms exist to establish and maintain a Security Operations Center (SOC) that facilitates a 24x7 response capability.,Protect
OPS-05,Secure Practices Guidelines,Security Operations,"Mechanisms exist to provide guidelines and recommendations for the secure use of Technology Assets, Applications and/or Services (TAAS) to assist in the configuration, installation and use of the product and/or service.",Protect
OPS-06,"Security Orchestration, Automation, and Response (SOAR)",Security Operations,"Mechanisms exist to utilize Security Orchestration, Automation and Response (SOAR) tools to define, prioritize and automate the response to security incidents.",Protect
OPS-07,Shadow Information Technology Detection,Security Operations,"Mechanisms exist to detect the presence of unauthorized Technology Assets, Applications and/or Services (TAAS) in use.",Govern
SAT-01,Cybersecurity & Data Protection-Minded Workforce,Security Awareness & Training,Mechanisms exist to facilitate the implementation of security workforce development and awareness controls.,Govern
SAT-01.1,Maintaining Workforce Development Relevancy,Security Awareness & Training,"Mechanisms exist to periodically review security workforce development and awareness training to account for changes to: (1) Organizational policies, standards and procedures; (2) Assigned roles and responsibilities; (3) Relevant threats and risks; and (4) Technological developments.",Identify
SAT-02,Cybersecurity & Data Protection Awareness Training,Security Awareness & Training,Mechanisms exist to provide all employees and contractors appropriate awareness education and training that is relevant for their job function.,Protect
SAT-02.1,Simulated Cyber Attack Scenario Training,Security Awareness & Training,Mechanisms exist to include simulated actual cyber-attacks through practical exercises that are aligned with current threat scenarios.,Protect
SAT-02.2,Social Engineering & Mining,Security Awareness & Training,Mechanisms exist to include awareness training on recognizing and reporting potential and actual instances of social engineering and social mining.,Protect
SAT-03,Role-Based Cybersecurity & Data Protection Training,Security Awareness & Training,Mechanisms exist to provide role-based cybersecurity and data protection-related training: (1) Before authorizing access to the system or performing assigned duties; (2) When required by system changes; and (3) Annually thereafter.,Protect
SAT-03.1,Practical Exercises,Security Awareness & Training,Mechanisms exist to include practical exercises in cybersecurity and data protection training that reinforce training objectives.,Protect
SAT-03.2,Suspicious Communications & Anomalous System Behavior,Security Awareness & Training,Mechanisms exist to provide training to personnel on organization-defined indicators of malware to recognize suspicious communications and anomalous behavior.,Protect
SAT-03.3,"Sensitive / Regulated Data Storage, Handling & Processing",Security Awareness & Training,"Mechanisms exist to ensure that every user accessing a system processing, storing or transmitting sensitive/regulated data is formally trained in data handling requirements.",Protect
SAT-03.4,Vendor Cybersecurity & Data Protection Training,Security Awareness & Training,Mechanisms exist to incorporate vendor-specific security training in support of new technology initiatives.,Protect
SAT-03.5,Privileged Users,Security Awareness & Training,Mechanisms exist to provide specific training for privileged users to ensure privileged users understand their unique roles and responsibilities,Protect
SAT-03.6,Cyber Threat Environment,Security Awareness & Training,Mechanisms exist to provide role-based cybersecurity and data protection awareness training that is current and relevant to the cyber threats that users might encounter in day-to-day business operations.,Identify
SAT-03.7,Continuing Professional Education (CPE) - Cybersecurity & Data Protection Personnel,Security Awareness & Training,Mechanisms exist to ensure cybersecurity and data protection personnel receive Continuing Professional Education (CPE) training to maintain currency and proficiency with industry-recognized secure practices that are pertinent to their assigned roles and responsibilities.,Identify
SAT-03.8,Continuing Professional Education (CPE) - DevOps Personnel,Security Awareness & Training,Mechanisms exist to ensure application development and operations (DevOps) personnel receive Continuing Professional Education (CPE) training on Secure Software Development Practices (SSDP) to appropriately address evolving threats.,Identify
SAT-03.9,Counterintelligence Training,Security Awareness & Training,"Mechanisms exist to provide specialized counterintelligence awareness training that enables personnel to collect, interpret and act upon a range of data sources that may signal the presence of a hostile actor.",Identify
SAT-04,Cybersecurity & Data Protection Training Records,Security Awareness & Training,"Mechanisms exist to document, retain and monitor individual training activities, including basic cybersecurity and data protection awareness training, ongoing awareness training and specific-system training.",Protect
SAT-05,Cybersecurity Knowledge Sharing,Security Awareness & Training,Mechanisms exist to improve cybersecurity and data protection knowledge sharing across security personnel allowing for more rapid and effective response to incidents.,Identify
TDA-01,Technology Development & Acquisition,Technology Development & Acquisition,"Mechanisms exist to facilitate the implementation of tailored development and acquisition strategies, contract tools and procurement methods to meet unique business needs.",Govern
TDA-01.1,Product Management,Technology Development & Acquisition,"Mechanisms exist to design and implement product management processes to proactively govern the design, development and production of Technology Assets, Applications and/or Services (TAAS) across the System Development Life Cycle (SDLC) to: (1) Improve functionality; (2) Enhance security and resiliency capabilities; (3) Correct security deficiencies; and (4) Conform with applicable statutory, regulatory and/or contractual obligations.",Protect
TDA-01.2,Integrity Mechanisms for Software / Firmware Updates,Technology Development & Acquisition,Mechanisms exist to utilize integrity validation mechanisms for security updates.,Protect
TDA-01.3,Malware Testing Prior to Release,Technology Development & Acquisition,Mechanisms exist to utilize at least one(1) malware detection tool to identify if any known malware exists in the final binaries of the product or security update.,Protect
TDA-01.4,DevSecOps,Technology Development & Acquisition,"Mechanisms exist to integrate cybersecurity and data protection into Development, Security and Operations (DevSecOps) to prioritize secure practices throughout the Software Development Lifecycle (SDLC).",Protect
TDA-02,Minimum Viable Product (MVP) Security Requirements,Technology Development & Acquisition,"Mechanisms exist to design, develop and produce Technology Assets, Applications and/or Services (TAAS) in such a way that risk-based technical and functional specifications ensure Minimum Viable Product (MVP) criteria establish an appropriate level of security and resiliency based on applicable risks and threats.",Protect
TDA-02.1,"Ports, Protocols & Services In Use",Technology Development & Acquisition,"Mechanisms exist to require the developers of Technology Assets, Applications and/or Services (TAAS) to identify early in the Secure Development Life Cycle (SDLC), the functions, ports, protocols and services intended for use.",Protect
